Notes,Score,Evidence
Video,3,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md#version-3-submission-video
Workload is spread over the whole team(One team member is often Xtimes more productive than the others but nevertheless here is a track record that everyone is contributing a lot.,2,https://github.com/SEProjGrp5/ScheduleBot/graphs/contributors
Number of Commits,3,https://github.com/SEProjGrp5/ScheduleBot/commits/main
Number of Commits by different people,2,https://github.com/SEProjGrp5/ScheduleBot/graphs/contributors
Issue Reports:there are many,2,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aopen+is%3Aissue
Issues are being closed,2,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
DOI badge: exists,3,https://zenodo.org/record/5759092
"Docs: doco generated, format not ugly",3,https://github.com/SEProjGrp5/ScheduleBot/tree/main/docs
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/SEProjGrp5/ScheduleBot/tree/main/docs
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,https://github.com/SEProjGrp5/ScheduleBot/tree/main/docs
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md#version-3-submission-video
Use of version control tools,3,The complete project is made on github which is a version control system.
Use of style checkers,2,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/style_checker.yml
Use of code formatters.,2,https://github.com/SEProjGrp5/ScheduleBot/blob/main/checkers/pylintrc
Use of syntax checkers.,2,https://github.com/SEProjGrp5/ScheduleBot/blob/main/checkers/pylintrc
Use of code coverage,3,https://app.codecov.io/gh/SEProjGrp5/ScheduleBot
Other automated analysis tools,2,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/codecov.yml
Test cases exist,3,https://github.com/SEProjGrp5/ScheduleBot/tree/main/test
Test cases are routinely executed,3,https://github.com/SEProjGrp5/ScheduleBot/commits/main/test
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/SEProjGrp5/ScheduleBot/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,2,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
Chat channel: exists,0,No such evidence
Test cases: a large proportion of the issues related to handling failing cases.,2,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/codecov.yml
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",1,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/codecov.yml
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",1,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/codecov.yml
Evidence that the members of the team are working across multiple places in the code base,2,https://github.com/SEProjGrp5/ScheduleBot/graphs/code-frequency
Short release cycles,2,https://github.com/SEProjGrp5/ScheduleBot/releases
,,
,,
,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md#version-3-submission-video
Does your website and documentation clearly describe the type of user who should use your software?,No,
Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
Is the name of your project/software unique?,Yes,
Is your project/software name free from trademark violations?,Yes,There is no company on linkdeln or product on this name
Is your software available as a package that can be deployed without building it?,Yes,Anyone can download it and build the software from the intructions provided in readme
Is your software available for free?,Yes,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Github Repository can be cloned as it is public repository.
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/SEProjGrp5/ScheduleBot/tree/main
Is your documentation clearly available on your website or within your software?,Yes,https://github.com/SEProjGrp5/ScheduleBot/tree/main
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",No,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,
Do you store your documentation under revision control with your source code?,Yes,https://github.com/SEProjGrp5/ScheduleBot/tree/main/docs
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,https://github.com/SEProjGrp5/ScheduleBot/releases
Does your software describe how a user can get help with using your software?,No,
"Does your website and documentation describe what support, if any, you provide to users and developers?",No,
Does your project have an e-mail address or forum that is solely for supporting users?,No,
Are e-mails to your support e-mail address received by more than one person?,No,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/SEProjGrp5/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
Is your software’s architecture and design modular?,No,
Does your software use an accepted coding standard or convention?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/CODE_OF_CONDUCT.md
 Does your software allow data to be imported and exported using open data formats?,No,
Does your software allow communications using open communications protocols?,Yes,Discord chanel
Is your software cross-platform compatible?,Yes,The software can be deployed on any platform
Does your software adhere to appropriate accessibility conventions or standards?,Yes,Accesible by all people
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,It is accessible by all people
Is your source code stored in a repository under version control?,Yes,It is stored under GIT version Control.
Is each source code release a snapshot of the repository?,Yes,
Are releases tagged in the repository?,Yes,https://github.com/SEProjGrp5/ScheduleBot/tags
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,Main branch
Do you back-up your repository?,Yes,Forked by many users
Do you provide publicly-available instructions for building your software from the source code?,No,
" Can you build, or package, your software using an automated tool?",No,
 Do you provide publicly-available instructions for deploying your software?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
Does your documentation list all third-party dependencies?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/requirements.txt
Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/requirements.txt
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/requirements.txt
Can you download dependencies using a dependency management tool or package manager?,Yes,"Yes, it is give in README file .   pip install -r requirements.txt"
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,https://github.com/SEProjGrp5/ScheduleBot/tree/main/test
Do you have an automated test suite for your software?,yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/python-app.yml
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/python-app.yml
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/.github/workflows/python-app.yml
Are your test results publicly visible?,Yes,https://github.com/SEProjGrp5/ScheduleBot/tree/main/test
Are all manually-run tests documented?,No,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
Does your website state how many projects and users are associated with your project?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,Yes,https://github.com/SEProjGrp5/ScheduleBot/graphs/contributors
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,No,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/SEProjGrp5/ScheduleBot/graphs/contributors
Do you have a contributions policy?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/CODE_OF_CONDUCT.md
