Notes,Score,Evidence
Video,3,https://youtu.be/FnJ8C9iSjqY?feature=shared
Workload is spread over the whole team(One team member is often Xtimes more productive than the others but nevertheless here is a track record that everyone is contributing a lot.,,
Number of Commits,3,https://github.com/qchen59/ScheduleBot/compare/main...War-Keeper:ScheduleBot:main
Number of Commits by different people,2,https://github.com/qchen59/ScheduleBot/compare/main...War-Keeper:ScheduleBot:main
Issue Reports:there are many,2,https://github.com/qchen59/ScheduleBot/issues
Issues are being closed,2,https://github.com/qchen59/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
DOI badge: exists,3,https://zenodo.org/record/5637579
"Docs: doco generated, format not ugly",3,https://github.com/qchen59/ScheduleBot/tree/main/docs
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/qchen59/ScheduleBot/tree/main/docs
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://youtu.be/FnJ8C9iSjqY?feature=shared
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,https://github.com/qchen59/ScheduleBot/blob/main/README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,https://youtu.be/FnJ8C9iSjqY?feature=shared
Use of version control tools,3,The complete project is made on github which is a version control system.
Use of style checkers,0,There is no such evidence
Use of code formatters.,0,There is no such evidence
Use of syntax checkers.,0,There is no such evidence
Use of code coverage,3,https://app.codecov.io/gh/usmanwardag/dollar_bot
Other automated analysis tools,1,"Except for the common repository on Github, there are nop other tools that the whole team is using."
Test cases exist,3,https://github.com/qchen59/ScheduleBot/tree/main/test
Test cases are routinely executed,2,https://github.com/qchen59/ScheduleBot/blob/main/.travis.yml
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/qchen59/ScheduleBot/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,3,https://github.com/qchen59/ScheduleBot/issues?q=is%3Aissue+is%3Aclosed
Chat channel: exists,1,There is no evidence of Chat Channel
Test cases: a large proportion of the issues related to handling failing cases.,3,https://github.com/qchen59/ScheduleBot/tree/main/test
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,"Except for the common repository on Github, there are no other tools that the whole team is using."
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",1,"Except for the common repository on Github, there are nop other tools that the whole team is using."
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",1,"Except for the common repository on Github, there are nop other tools that the whole team is using."
Evidence that the members of the team are working across multiple places in the code base,3,https://github.com/sak007/MyDollarBot-BOTGo/compare/main...usmanwardag:dollar_bot:main
Short release cycles,1,Not evident since there are multiple people involved in the project.
,,
,,
,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/qchen59/ScheduleBot/blob/main/README.md
Does your website and documentation clearly describe the type of user who should use your software?,Yes,I got this information from the Youtube Video.
Do you publish case studies to show how your software has been used by yourself and others?,Yes,
Is the name of your project/software unique?,Yes,
Is your project/software name free from trademark violations?,Yes,There is no company on linkdeln or product on this name
Is your software available as a package that can be deployed without building it?,Yes,Anyone can download it and build the software from the intructions provided in readme
Is your software available for free?,Yes,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Github Repository can be cloned as it is public repository.
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/README.md
Is your documentation clearly available on your website or within your software?,Yes,https://github.com/War-Keeper/ScheduleBot
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://youtu.be/FnJ8C9iSjqY?feature=shared
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/War-Keeper/ScheduleBot
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,
Do you store your documentation under revision control with your source code?,Yes,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,https://github.com/usmanwardag/dollar_bot/releases
Does your software describe how a user can get help with using your software?,Yes,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
Does your project have an e-mail address or forum that is solely for supporting users?,,
Are e-mails to your support e-mail address received by more than one person?,,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/War-Keeper/ScheduleBot/issues
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/War-Keeper/ScheduleBot/issues
Is your software’s architecture and design modular?,Yes,
